Alliance,Countries,Entity,Id,Inflation..Most.recent.year,Regime type,Regimenarrowcat,Black.market.exchange.rates,Capital.controls,Centralized.collective.bargaining,Conscription,Controls.of.the.movement.of.capital.and.people,Credit.market.regulations,Economic.Freedom.Summary.Index,Electdem Vdem Owid,Financial.Openness,Freedom.to.own.foreign.currency.bank.accounts,Freedom.to.trade.Internationally,Gender.Legal.Rights.Adjustment,Government.consumption,Government.investment,Hours.Regulations,Impartial.courts,Impartial.Public.Administration,Indiv Libs Vdem Owid,Integrity.of.the.legal.system,Interest.rate.controls.negative.real.interest.rates.,Judicial.independence,Labor.market.regulations,Legal.enforcement.of.contracts,Legal.System...Property.Rights,Libdem Vdem Owid,Money.growth,Ownership.of.banks,Private.sector.credit,Regulation,Revenue.from.trade.taxes....of.trade.sector.,Size.of.Government,Sound.Money,Standard.deviation.of.inflation,State.ownership.of.assets,Tariffs,Transfers.and.subsidies
not a US ally,,Afghanistan,1,8.649355650,Monarchy,8,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.16,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.266,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.104,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Albania,Albania,2,8.268595749,Single-party rule,4,0,0,4.220652291,0,0,-1.128498850,3.713221801,0.173,0.553209222,0,0.948870782,1,3.170575228,-0.627520191,4.846848448,8.43,1.75,0.006,5.24,6.791736800,3.7,4.215714160,5.306406600,5.79,0.055,7.076990472,-1.193845359,2.474679398,3.230020565,1.441352390,2.378598506,5.228337831,5.976894815,0.18,1.181993671,8.262925738
not a US ally,Algeria,Algeria,3,8.92,Military rule,7,0,0,5.540452025,3,0,0,4.68,0.084,0,0,2.182805029,0.53,5.54,7.32,6.185717556,5.87,3.91,0.428,4.25,6.790804908,3.77,4.572434509,4.577184886,3.54,0.065,7.48,0,5.632514221,3.63,2.538643489,5.11,6.44,9.35,2.49,2.433870921,9.322153726
not a US ally,Angola,Angola,4,7.416371565,unknown,NA,5.159398666,0.489725674,4.641345689,0.536242786,0.944823241,2.778420335,4.547753629,0.01,1.416549682,2.032278126,3.456590420,0.47,6.109552552,4.949295508,5.671837925,7.42,2.37,0.024,2.38,5.849106046,5.05,3.955813275,4.977996882,3.64,0.035,6.770166010,1.404067046,5.706777460,3.778725131,4.666203831,5.434621553,5.501005390,6.086807463,3.18,4.322304898,8.385527439
US ally,Argentina,Argentina,5,8.84,Military rule,7,10,2,5.18,0,3.98,6.98,5.98,0.105,5.97,10,7.136346621,0.41,7.93,8.187807876,5.72,7.1,2.42,0.354,3.42,6.902559631,5.4,3.63,5.75,3.82,0.086,5.96,5,8.96,5.31,8.166829447,7.04,7.75,6.22,6.15,7.885423309,8.006017676
not a US ally,Armenia,Armenia,6,8.790984500,Single-party rule,4,2.585925351,0.840821758,6.120053271,3.102853108,1.495686253,2.667147547,4.543789664,0.102,2.262425928,2.158906492,2.247583087,0.82,6.061647287,2.974573467,5.976917411,5.055526372,3.191818770,0.094,3.235105970,7.300524195,3.22,5.022988686,4.362271304,3.581965779,0.024,8.070735674,0.121847318,5.245814320,4.010850387,1.981033724,5.071439032,6.635294040,7.152537121,3.267025655,1.910843341,9.695219305
US ally,Australia,Australia,7,8.9,Democracy,0,10,2,5.18,0,3.08,7.92,7.56,0.86,4.16,10,6.87,0.88,6.17,10,5.321900097,8.9,9.76,0.98,7.79,10,8.46,4.346862035,8,7.8,0.807,9.81,8,5.77,5.72,7.53,7.85,9.58,9.61,7.38,7.53,6.968283263
not a US ally,Austria,Austria,8,9.05,Democracy,0,10,2,4.49,0,3.24,7.16,6.61,0.843,4.49,5,7.17,0.59,5.45,7.82,5.01,8.59,8.06,0.949,7.31,8,7.57,3.17,8.25,6.3,0.728,9.74,5,8.47,5.16,8.27,6.03,8.38,9.71,4.78,8.27,6.07
not a US ally,Azerbaijan,Azerbaijan,9,8.789475987,Single-party rule,4,2.637311682,0.860598986,6.118530410,3.112879683,1.513859583,2.715618227,4.562496736,0.102,2.279964068,2.170524142,2.284015375,0.82,6.062737950,3.009095744,5.973362671,5.083933166,3.231986899,0.094,3.264760754,7.306056970,3.26,5.023542869,4.386047782,3.608955283,0.024,8.078884443,0.182449173,5.271232866,4.029371576,2.025846743,5.083456670,6.644988195,7.169225724,3.295890425,1.955873797,9.676493048
not a US ally,Bahrain,Bahrain,10,9.67,unknown,NA,10.122702461,2,6.308790889,-1.105165897,2,10,5.990742190,0.024,3.669849858,3.519277888,6.088644898,0.35,7.066136385,7.644777744,6.602107864,4.494401036,5.16,0.449,4.01,8.432797969,4.29,3.916456352,5.140193316,2.81,,9.752809304,3.542682426,10,4.570042528,6.122320987,7.220192766,9.56,9.44,2.55,6.210918357,9.231391419
not a US ally,Bangladesh,Bangladesh,11,9.9,Military rule,7,4.526005929,0,5.331745420,-1.028314749,0,0,4.619361554,0.168,1.798737970,1.153490137,3.075663579,0.65,4.661760771,2.657809726,5.851836616,4.07,4.257823190,0.383,3.69,8.120341782,5.9,3.833183993,4.927320916,3.75,0.09,8.931886065,0,5.017861465,3.492101445,2.987257882,4.400812127,8.46,7.01,3.079495839,2.985709013,9.111140286
